"","Munic.","Razão Social","Emissão","Número","TipoDoc.","Chave de Acesso","Valor","Data Emissão","Tipo Operação","Situação Docto"
"","Marau","Valente Supermercado Ltda","02/08/25","357602","Nota Fiscal de Consumidor Eletrônica","4325080749231800018665 0030003576021578445188","R$44,50","02/08/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","30/07/25","393563","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0040003935631938232104","R$101,53","30/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","22/07/25","356207","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0030003562071592223711","R$151,36","22/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","19/07/25","358354","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0020003583541310238730","R$244,41","19/07/25","Aquisição","Normal"
"","Marau","Cotrijal Coop Agropec E Indl","19/07/25","30263","Nota Fiscal de Consumidor Eletrônica","4325079149554901534365 0020000302631458779109","R$106,83","19/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","17/07/25","358038","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0020003580381332410595","R$32,75","17/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","14/07/25","355524","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0030003555241904083688","R$33,86","14/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","07/07/25","354851","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0030003548511010263822","R$36,68","07/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","05/07/25","356689","Nota Fiscal de Consumidor Eletrônica","4325070749231800018665 0020003566891182811045","R$30,71","05/07/25","Aquisição","Normal"
"","Porto Alegre","Digoo Brasil Importacao E Distribuicao Ltda","02/07/25","11220","Nota Fiscal Eletrônica","4325074098102600018255 0010000112201545204587","R$172,42","02/07/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","30/06/25","353972","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0030003539721885786123","R$63,02","30/06/25","Aquisição","Normal"
"","Marau","Com De Medic Brair Ltda","24/06/25","6998","Nota Fiscal de Consumidor Eletrônica","4325068821211310961665 0140000069981490139929","R$91,59","24/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","24/06/25","353408","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0030003534081561016650","R$138,51","24/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","21/06/25","355568","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0020003555681474100285","R$185,03","21/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","20/06/25","355437","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0020003554371510105910","R$91,18","20/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","17/06/25","352632","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0030003526321381873719","R$71,34","17/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","14/06/25","373678","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0050003736781103337103","R$85,86","14/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","07/06/25","372368","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0050003723681210945177","R$65,60","07/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","06/06/25","372140","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0050003721401283751931","R$50,02","06/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","03/06/25","354095","Nota Fiscal de Consumidor Eletrônica","4325060749231800018665 0020003540951083299160","R$20,72","03/06/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","31/05/25","385177","Nota Fiscal de Consumidor Eletrônica","4325050749231800018665 0040003851771839318118","R$139,72","31/05/25","Aquisição","Normal"
"","Marau","Grazziotin S/A","31/05/25","54295","Nota Fiscal de Consumidor Eletrônica","4325059201246702842265 1010000542951514392950","R$253,96","31/05/25","Aquisição","Normal"
